userName,score,content,at,thumbsUpCount
Ryan Pabro,5,ok,2026-03-04 18:12:45,0
MD irshad Ansari,5,good,2026-03-04 18:12:18,0
Rajeev Ranjan,1,"I have uninstalled this application as it doesn't seems to be worthy. Even on adding too many items they are still charging delivery fees. Also, whatever bank's card you will have, only for those cards no any offers will be available rest for all uselsss cards vouchers or offers will be there. So, for me it is not worthy ..",2026-03-04 17:33:44,0
Amrit Choudhary,5,good service 👍👍👍,2026-03-04 17:28:08,0
md mahbub,5,good,2026-03-04 17:21:31,0
Sandeep Patel,5,i am my first try on this platform..,2026-03-04 17:10:55,0
Aadesh Thakuri,5,good,2026-03-04 16:49:52,0
Md Tarik Anwar,5,very good 👍,2026-03-04 16:45:32,0
Awais Anwar,5,very good,2026-03-04 16:30:19,0
Nour Abdulrahim,2,The app doesn't apply coupon fairly and it adds different fees even after completing the order and after Shipment,2026-03-04 16:12:22,0
Boss Boss,4,Good,2026-03-04 16:09:47,0
Md.Nisad Alam,4,nice,2026-03-04 16:03:49,0
Nabeel Farooq,5,Excellent App quick service,2026-03-04 15:33:32,0
Simbajon Cyriel,5,nice,2026-03-04 15:32:35,0
Shahid Yousuf,5,noon u the Best,2026-03-04 14:32:30,0
Santosh,4,Good,2026-03-04 13:41:34,0
Toaqeer Ayyan,5,thank you so much noon app,2026-03-04 13:15:12,0
Krishan Harendra,5,extremely good app,2026-03-04 13:07:04,0
Mildred Parnoncillon,4,"Hassle free, fastest delivery!",2026-03-04 12:56:47,0
amirshy fdo,5,good,2026-03-04 12:55:02,0
Muhammad Fiaz,5,great,2026-03-04 12:46:35,0
Sujay Vyas,5,good,2026-03-04 12:42:29,0
MjoyGrajo30 MjoyGrajo30,1,this is Ng 1st time .. I will try it now if you having a good services thank you.. hopefully my items it's been safe to diliver.thank you,2026-03-04 12:08:50,0
Rananadeem333333 Nadeem,5,Good job,2026-03-04 12:06:40,0
Muhammad Waqar,5,I love you noon amazing 😍 best online shopping 💓🛍️,2026-03-04 11:38:04,0
Aftab Ali,5,best app,2026-03-04 11:23:50,0
Abou Walid,5,thank you,2026-03-04 11:19:53,0
Nidhi Jankhi,3,Nice,2026-03-04 11:12:18,0
